user_id,merchant_id,device_id,location,amount,timestamp,is_fraud,fraud_reason,hour,day_of_week
267,8,Android,Mumbai,426.77,2025-05-24 07:09:55.132748,0,,7,5
340,23,Android,Mumbai,1512.95,2025-05-24 08:16:55.129010,0,,8,5
410,18,Android,Mumbai,1288.81,2025-05-24 08:28:55.196364,0,,8,5
454,19,iOS,Delhi,1145.28,2025-05-24 09:15:55.395102,0,,9,5
409,19,Android,Delhi,1594.05,2025-05-24 09:22:55.383123,0,,9,5
281,19,iOS,Delhi,599.79,2025-05-24 10:05:55.196934,0,,10,5
215,24,Android,Chennai,1786.08,2025-05-24 10:42:55.379052,0,,10,5
183,9,Android,Delhi,1336.33,2025-05-24 10:52:55.206299,0,,10,5
389,14,Web,Pune,1799.14,2025-05-24 11:33:55.178557,0,,11,5
144,21,Android,Chennai,1810.56,2025-05-24 11:52:55.148502,0,,11,5
291,18,USSD,Delhi,488.87,2025-05-24 11:55:54.973320,0,,11,5
287,10,USSD,Pune,166.05,2025-05-24 12:06:55.367073,0,,12,5
394,16,Web,Hyderabad,1135.53,2025-05-24 12:12:55.048177,0,,12,5
166,11,Android,Pune,1432.21,2025-05-24 12:22:55.214198,0,,12,5
57,20,iOS,Pune,995.62,2025-05-24 12:41:55.141773,0,,12,5
29,3,Web,Chennai,666.2,2025-05-24 12:53:54.982211,0,,12,5
360,24,POS,Mumbai,795.23,2025-05-24 12:56:55.179128,0,,12,5
112,7,iOS,Delhi,411.07,2025-05-24 13:05:55.077264,0,,13,5
386,2,Android,Chennai,1291.1,2025-05-24 13:09:55.064894,0,,13,5
496,22,Web,Pune,1743.54,2025-05-24 13:40:54.937917,0,,13,5
104,18,iOS,Chennai,1706.03,2025-05-24 13:50:55.049258,0,,13,5
206,2,Android,Chennai,2012.27,2025-05-24 13:54:54.991418,0,,13,5
9,7,Android,Chennai,858.18,2025-05-24 14:07:55.261438,0,,14,5
119,21,Web,Pune,1605.11,2025-05-24 14:11:55.319143,0,,14,5
415,19,Web,Delhi,1178.4,2025-05-24 14:34:55.209156,0,,14,5
297,13,USSD,Pune,2052.27,2025-05-24 14:41:55.375679,0,,14,5
439,7,iOS,Hyderabad,415.11,2025-05-24 14:51:55.159620,0,,14,5
126,12,Android,Hyderabad,1785.41,2025-05-24 14:55:55.072055,0,,14,5
315,14,iOS,Delhi,1599.96,2025-05-24 14:57:55.222466,0,,14,5
333,23,Android,Mumbai,1218.43,2025-05-24 14:59:55.429058,0,,14,5
481,9,USSD,Pune,2188.32,2025-05-24 15:12:55.324849,0,,15,5
213,21,iOS,Bangalore,63.39,2025-05-24 15:42:55.389287,0,,15,5
473,18,iOS,Chennai,1733.87,2025-05-24 15:51:55.085873,0,,15,5
267,7,Android,Mumbai,1097.45,2025-05-24 15:52:55.116575,0,,15,5
337,2,Web,Mumbai,848.21,2025-05-24 16:10:55.321870,0,,16,5
446,19,USSD,Hyderabad,246.1,2025-05-24 17:09:54.946306,0,,17,5
394,14,Android,Hyderabad,959.55,2025-05-24 17:54:55.221005,0,,17,5
21,19,USSD,Bangalore,454.63,2025-05-24 18:25:55.078447,0,,18,5
211,0,Android,Bangalore,1242.43,2025-05-24 18:43:55.139480,0,,18,5
198,7,POS,Mumbai,1337.86,2025-05-24 18:58:55.064302,0,,18,5
85,1,iOS,Bangalore,721.74,2025-05-24 19:14:55.227078,0,,19,5
158,24,Web,Hyderabad,262.69,2025-05-24 19:22:55.388670,0,,19,5
106,10,iOS,Hyderabad,920.35,2025-05-24 19:54:55.338810,0,,19,5
349,3,iOS,Mumbai,1055.02,2025-05-24 19:58:55.137082,0,,19,5
260,16,USSD,Bangalore,1324.89,2025-05-24 20:09:55.015780,0,,20,5
53,20,Android,Mumbai,1629.04,2025-05-24 20:27:55.197154,0,,20,5
407,8,USSD,Hyderabad,1400.01,2025-05-24 21:09:55.087518,0,,21,5
254,10,Android,Hyderabad,472.84,2025-05-24 21:16:55.392781,0,,21,5
